elapsed_ms,kind,value,source,iso_time,session_label
130737,rr,656,saved_rr_points,2026-06-13T21:47:32Z,gate-b-300s-live-rr
131794,rr,731,saved_rr_points,2026-06-13T21:47:33Z,gate-b-300s-live-rr
132495,rr,752,saved_rr_points,2026-06-13T21:47:34Z,gate-b-300s-live-rr
133546,rr,734,saved_rr_points,2026-06-13T21:47:35Z,gate-b-300s-live-rr
133813,rr,795,saved_rr_points,2026-06-13T21:47:35Z,gate-b-300s-live-rr
134598,rr,785,saved_rr_points,2026-06-13T21:47:36Z,gate-b-300s-live-rr
135640,rr,784,saved_rr_points,2026-06-13T21:47:37Z,gate-b-300s-live-rr
136339,rr,750,saved_rr_points,2026-06-13T21:47:38Z,gate-b-300s-live-rr
137394,rr,766,saved_rr_points,2026-06-13T21:47:39Z,gate-b-300s-live-rr
138430,rr,785,saved_rr_points,2026-06-13T21:47:40Z,gate-b-300s-live-rr
139467,rr,801,saved_rr_points,2026-06-13T21:47:41Z,gate-b-300s-live-rr
139711,rr,820,saved_rr_points,2026-06-13T21:47:41Z,gate-b-300s-live-rr
140501,rr,790,saved_rr_points,2026-06-13T21:47:42Z,gate-b-300s-live-rr
141193,rr,797,saved_rr_points,2026-06-13T21:47:43Z,gate-b-300s-live-rr
142243,rr,784,saved_rr_points,2026-06-13T21:47:44Z,gate-b-300s-live-rr
143279,rr,774,saved_rr_points,2026-06-13T21:47:45Z,gate-b-300s-live-rr
143963,rr,764,saved_rr_points,2026-06-13T21:47:45Z,gate-b-300s-live-rr
145241,rr,771,saved_rr_points,2026-06-13T21:47:47Z,gate-b-300s-live-rr
145242,rr,788,saved_rr_points,2026-06-13T21:47:47Z,gate-b-300s-live-rr
145898,rr,810,saved_rr_points,2026-06-13T21:47:47Z,gate-b-300s-live-rr
146892,rr,760,saved_rr_points,2026-06-13T21:47:48Z,gate-b-300s-live-rr
147929,rr,748,saved_rr_points,2026-06-13T21:47:49Z,gate-b-300s-live-rr
148981,rr,786,saved_rr_points,2026-06-13T21:47:50Z,gate-b-300s-live-rr
150009,rr,793,saved_rr_points,2026-06-13T21:47:51Z,gate-b-300s-live-rr
150010,rr,772,saved_rr_points,2026-06-13T21:47:51Z,gate-b-300s-live-rr
150705,rr,708,saved_rr_points,2026-06-13T21:47:52Z,gate-b-300s-live-rr
151742,rr,718,saved_rr_points,2026-06-13T21:47:53Z,gate-b-300s-live-rr
152793,rr,636,saved_rr_points,2026-06-13T21:47:54Z,gate-b-300s-live-rr
153145,rr,722,saved_rr_points,2026-06-13T21:47:55Z,gate-b-300s-live-rr
153842,rr,697,saved_rr_points,2026-06-13T21:47:55Z,gate-b-300s-live-rr
154897,rr,676,saved_rr_points,2026-06-13T21:47:56Z,gate-b-300s-live-rr
155591,rr,685,saved_rr_points,2026-06-13T21:47:57Z,gate-b-300s-live-rr
155908,rr,696,saved_rr_points,2026-06-13T21:47:57Z,gate-b-300s-live-rr
156640,rr,732,saved_rr_points,2026-06-13T21:47:58Z,gate-b-300s-live-rr
157699,rr,728,saved_rr_points,2026-06-13T21:47:59Z,gate-b-300s-live-rr
158395,rr,734,saved_rr_points,2026-06-13T21:48:00Z,gate-b-300s-live-rr
159446,rr,794,saved_rr_points,2026-06-13T21:48:01Z,gate-b-300s-live-rr
160497,rr,779,saved_rr_points,2026-06-13T21:48:02Z,gate-b-300s-live-rr
161546,rr,772,saved_rr_points,2026-06-13T21:48:03Z,gate-b-300s-live-rr
161811,rr,771,saved_rr_points,2026-06-13T21:48:03Z,gate-b-300s-live-rr
162589,rr,778,saved_rr_points,2026-06-13T21:48:04Z,gate-b-300s-live-rr
163641,rr,842,saved_rr_points,2026-06-13T21:48:05Z,gate-b-300s-live-rr
164327,rr,827,saved_rr_points,2026-06-13T21:48:06Z,gate-b-300s-live-rr
165393,rr,827,saved_rr_points,2026-06-13T21:48:07Z,gate-b-300s-live-rr
166452,rr,772,saved_rr_points,2026-06-13T21:48:08Z,gate-b-300s-live-rr
167165,rr,797,saved_rr_points,2026-06-13T21:48:09Z,gate-b-300s-live-rr
167488,rr,805,saved_rr_points,2026-06-13T21:48:09Z,gate-b-300s-live-rr
168258,rr,770,saved_rr_points,2026-06-13T21:48:10Z,gate-b-300s-live-rr
169303,rr,732,saved_rr_points,2026-06-13T21:48:11Z,gate-b-300s-live-rr
170003,rr,729,saved_rr_points,2026-06-13T21:48:11Z,gate-b-300s-live-rr
171250,rr,776,saved_rr_points,2026-06-13T21:48:13Z,gate-b-300s-live-rr
171911,rr,812,saved_rr_points,2026-06-13T21:48:13Z,gate-b-300s-live-rr
172749,rr,786,saved_rr_points,2026-06-13T21:48:14Z,gate-b-300s-live-rr
173745,rr,742,saved_rr_points,2026-06-13T21:48:15Z,gate-b-300s-live-rr
174456,rr,711,saved_rr_points,2026-06-13T21:48:16Z,gate-b-300s-live-rr
175161,rr,675,saved_rr_points,2026-06-13T21:48:17Z,gate-b-300s-live-rr
175896,rr,702,saved_rr_points,2026-06-13T21:48:17Z,gate-b-300s-live-rr
176659,rr,746,saved_rr_points,2026-06-13T21:48:18Z,gate-b-300s-live-rr
177384,rr,725,saved_rr_points,2026-06-13T21:48:19Z,gate-b-300s-live-rr
178087,rr,724,saved_rr_points,2026-06-13T21:48:20Z,gate-b-300s-live-rr
178792,rr,776,saved_rr_points,2026-06-13T21:48:20Z,gate-b-300s-live-rr
179851,rr,777,saved_rr_points,2026-06-13T21:48:21Z,gate-b-300s-live-rr
179852,rr,749,saved_rr_points,2026-06-13T21:48:21Z,gate-b-300s-live-rr
180554,rr,735,saved_rr_points,2026-06-13T21:48:22Z,gate-b-300s-live-rr
181617,rr,753,saved_rr_points,2026-06-13T21:48:23Z,gate-b-300s-live-rr
182680,rr,779,saved_rr_points,2026-06-13T21:48:24Z,gate-b-300s-live-rr
183711,rr,765,saved_rr_points,2026-06-13T21:48:25Z,gate-b-300s-live-rr
184391,rr,730,saved_rr_points,2026-06-13T21:48:26Z,gate-b-300s-live-rr
184760,rr,716,saved_rr_points,2026-06-13T21:48:26Z,gate-b-300s-live-rr
185442,rr,682,saved_rr_points,2026-06-13T21:48:27Z,gate-b-300s-live-rr
186489,rr,693,saved_rr_points,2026-06-13T21:48:28Z,gate-b-300s-live-rr
187546,rr,709,saved_rr_points,2026-06-13T21:48:29Z,gate-b-300s-live-rr
188249,rr,746,saved_rr_points,2026-06-13T21:48:30Z,gate-b-300s-live-rr
188483,rr,804,saved_rr_points,2026-06-13T21:48:30Z,gate-b-300s-live-rr
189295,rr,812,saved_rr_points,2026-06-13T21:48:31Z,gate-b-300s-live-rr
190341,rr,770,saved_rr_points,2026-06-13T21:48:32Z,gate-b-300s-live-rr
191388,rr,772,saved_rr_points,2026-06-13T21:48:33Z,gate-b-300s-live-rr
192439,rr,777,saved_rr_points,2026-06-13T21:48:34Z,gate-b-300s-live-rr
193140,rr,786,saved_rr_points,2026-06-13T21:48:35Z,gate-b-300s-live-rr
193900,rr,763,saved_rr_points,2026-06-13T21:48:35Z,gate-b-300s-live-rr
194460,rr,789,saved_rr_points,2026-06-13T21:48:36Z,gate-b-300s-live-rr
195260,rr,800,saved_rr_points,2026-06-13T21:48:37Z,gate-b-300s-live-rr
196297,rr,800,saved_rr_points,2026-06-13T21:48:38Z,gate-b-300s-live-rr
196997,rr,758,saved_rr_points,2026-06-13T21:48:38Z,gate-b-300s-live-rr
198034,rr,741,saved_rr_points,2026-06-13T21:48:40Z,gate-b-300s-live-rr
198737,rr,777,saved_rr_points,2026-06-13T21:48:40Z,gate-b-300s-live-rr
198988,rr,801,saved_rr_points,2026-06-13T21:48:40Z,gate-b-300s-live-rr
199798,rr,810,saved_rr_points,2026-06-13T21:48:41Z,gate-b-300s-live-rr
200839,rr,766,saved_rr_points,2026-06-13T21:48:42Z,gate-b-300s-live-rr
201878,rr,725,saved_rr_points,2026-06-13T21:48:43Z,gate-b-300s-live-rr
202935,rr,734,saved_rr_points,2026-06-13T21:48:44Z,gate-b-300s-live-rr
203642,rr,800,saved_rr_points,2026-06-13T21:48:45Z,gate-b-300s-live-rr
204700,rr,808,saved_rr_points,2026-06-13T21:48:46Z,gate-b-300s-live-rr
204975,rr,779,saved_rr_points,2026-06-13T21:48:46Z,gate-b-300s-live-rr
